Struttura trapianto,Città,Organo,Sottotipo,Numero,Anno,Città_nome,Regione
NO - AOU MAGGIORE DELLA CARITA' - NOVARA,NO,Rene,Rene,67,2010,Novara,Piemonte
"TO - AOU Città della Salute, PO OIRM",TO,Rene,Rene,5,2010,Torino,Piemonte
"TO - AOU Città della Salute, PO S.G.Battista",TO,Rene,Rene,109,2010,Torino,Piemonte
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,BG,Rene,Rene,17,2010,Bergamo,Lombardia
BS - PRES. OSPEDAL. SPEDALI CIVILI BRESCIA,BS,Rene,Rene,47,2010,Brescia,Lombardia
MI - AO NIGUARDA CA' GRANDA - MILANO,MI,Rene,Rene,54,2010,Milano,Lombardia
MI - IRCCS S. RAFFAELE - MILANO,MI,Rene,Rene,28,2010,Milano,Lombardia
MI - OSPEDALE MAGGIORE POLICLINICO - MILANO,MI,Rene,Rene,53,2010,Milano,Lombardia
PV - OSPEDALE POLICLINICO S. MATTEO - PAVIA,PV,Rene,Rene,28,2010,Pavia,Lombardia
VA - OSPEDALE DI CIRCOLO E FONDAZIONE MACCHI,VA,Rene,Rene,43,2010,Varese,Lombardia
PD - AZIENDA OSPEDALIERA DI PADOVA,PD,Rene,Rene,60,2010,Padova,Veneto
TV - OSPEDALE CA' FONCELLO - TREVISO,TV,Rene,Rene,42,2010,Treviso,Veneto
VI - OSPEDALE DI VICENZA,VI,Rene,Rene,25,2010,Vicenza,Veneto
VR - OSPEDALE CIVILE MAGGIORE - VERONA,VR,Rene,Rene,47,2010,Verona,Veneto
UD - AZIENDA OSPEDALIERA S. M. MISERICORDIA,UD,Rene,Rene,34,2010,Udine,Friuli Venezia Giulia
GE - A.O.U. S. MARTINO - GENOVA,GE,Rene,Rene,41,2010,Genova,Liguria
BO - S.ORSOLA-MALPIGHI - BO,BO,Rene,Rene,54,2010,Bologna,Emilia-Romagna
MO - AZIENDA OSPEDALIERA POLICLINICO - MODENA,MO,Rene,Rene,22,2010,Modena,Emilia-Romagna
PR - OSPEDALE MAGGIORE - PARMA,PR,Rene,Rene,31,2010,Parma,Emilia-Romagna
FI - A.O.U. CAREGGI - FIRENZE,FI,Rene,Rene,31,2010,Firenze,Toscana
PI - A.O.U. PISANA,PI,Rene,Rene,10,2010,Pisa,Toscana
SI - A.O.U. SENESE - S.M. alle SCOTTE,SI,Rene,Rene,42,2010,Siena,Toscana
PG - AZIENDA OSPEDALIERA DI PERUGIA,PG,Rene,Rene,10,2010,Perugia,Umbria
AN - PRESIDIO OSPEDALIERO UMBERTO I - ANCONA,AN,Rene,Rene,34,2010,Ancona,Marche
RM - A.O. SAN CAMILLO - FORLANINI,RM,Rene,Rene,35,2010,Roma,Lazio
RM - AZ. OSP. UNIV. POLICLINICO TOR VERGATA,RM,Rene,Rene,3,2010,Roma,Lazio
RM - OSPEDALE PEDIATRICO BAMBINO GESU',RM,Rene,Rene,5,2010,Roma,Lazio
"RM - POLICLINICO UMBERTO I - ROMA, convenzione LAZIO",RM,Rene,Rene,3,2010,Roma,Lazio
RM - POLICLINICO UMBERTO I - ROMA,RM,Rene,Rene,28,2010,Roma,Lazio
RM - POLICLINICO UNIVERSITARIO A. GEMELLI,RM,Rene,Rene,34,2010,Roma,Lazio
AQ - OSPEDALE CIVILE S. SALVATORE - L'AQUILA,AQ,Rene,Rene,26,2010,L’Aquila,Abruzzo
SA - OORR S.GIOVANNI DI DIO E RUGGI D`ARAGONA,SA,Rene,Rene,51,2010,Salerno,Campania
BA - AOU CONSORZIALE POLICLINICO di BARI,BA,Rene,Rene,39,2010,Bari,Puglia
CS - PRESIDIO OSPEDALIERO ANNUNZIATA,CS,Rene,Rene,11,2010,Cosenza,Calabria
RC - OSPEDALE BIANCHI - MELACRINO - MORELLI,RC,Rene,Rene,8,2010,Reggio Calabria,Calabria
CT - A.O. UNIVERSITARIA DI CATANIA,CT,Rene,Rene,34,2010,Catania,Sicilia
PA - Is.Me.T.T.,PA,Rene,Rene,14,2010,Palermo,Sicilia
PA - P.O. CIVICO E BENFRATELLI,PA,Rene,Rene,33,2010,Palermo,Sicilia
CA - AZIENDA OSPEDALIERA G. BROTZU,CA,Rene,Rene,33,2010,Cagliari,Sardegna
NO - AOU MAGGIORE DELLA CARITA' - NOVARA,NO,Rene,Rene doppio,8,2010,Novara,Piemonte
"TO - AOU Città della Salute, PO OIRM",TO,Rene,Rene doppio,0,2010,Torino,Piemonte
