Struttura trapianto,Città,Organo,Sottotipo,Numero,Anno
NO - AOU MAGGIORE DELLA CARITA' - NOVARA,NO,Rene,Rene,67,2010
"TO - AOU Città della Salute, PO OIRM",TO,Rene,Rene,5,2010
"TO - AOU Città della Salute, PO S.G.Battista",TO,Rene,Rene,109,2010
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,BG,Rene,Rene,17,2010
BS - PRES. OSPEDAL. SPEDALI CIVILI BRESCIA,BS,Rene,Rene,47,2010
MI - AO NIGUARDA CA' GRANDA - MILANO,MI,Rene,Rene,54,2010
MI - IRCCS S. RAFFAELE - MILANO,MI,Rene,Rene,28,2010
MI - OSPEDALE MAGGIORE POLICLINICO - MILANO,MI,Rene,Rene,53,2010
PV - OSPEDALE POLICLINICO S. MATTEO - PAVIA,PV,Rene,Rene,28,2010
VA - OSPEDALE DI CIRCOLO E FONDAZIONE MACCHI,VA,Rene,Rene,43,2010
PD - AZIENDA OSPEDALIERA DI PADOVA,PD,Rene,Rene,60,2010
TV - OSPEDALE CA' FONCELLO - TREVISO,TV,Rene,Rene,42,2010
VI - OSPEDALE DI VICENZA,VI,Rene,Rene,25,2010
VR - OSPEDALE CIVILE MAGGIORE - VERONA,VR,Rene,Rene,47,2010
UD - AZIENDA OSPEDALIERA S. M. MISERICORDIA,UD,Rene,Rene,34,2010
GE - A.O.U. S. MARTINO - GENOVA,GE,Rene,Rene,41,2010
BO - S.ORSOLA-MALPIGHI - BO,BO,Rene,Rene,54,2010
MO - AZIENDA OSPEDALIERA POLICLINICO - MODENA,MO,Rene,Rene,22,2010
PR - OSPEDALE MAGGIORE - PARMA,PR,Rene,Rene,31,2010
FI - A.O.U. CAREGGI - FIRENZE,FI,Rene,Rene,31,2010
PI - A.O.U. PISANA,PI,Rene,Rene,10,2010
SI - A.O.U. SENESE - S.M. alle SCOTTE,SI,Rene,Rene,42,2010
PG - AZIENDA OSPEDALIERA DI PERUGIA,PG,Rene,Rene,10,2010
AN - PRESIDIO OSPEDALIERO UMBERTO I - ANCONA,AN,Rene,Rene,34,2010
RM - A.O. SAN CAMILLO - FORLANINI,RM,Rene,Rene,35,2010
RM - AZ. OSP. UNIV. POLICLINICO TOR VERGATA,RM,Rene,Rene,3,2010
RM - OSPEDALE PEDIATRICO BAMBINO GESU',RM,Rene,Rene,5,2010
RM - OSPEDALE S. EUGENIO,RM,Rene,Rene,31,2010
"RM - POLICLINICO UMBERTO I - ROMA, convenzione LAZIO",RM,Rene,Rene,3,2010
RM - POLICLINICO UMBERTO I - ROMA,RM,Rene,Rene,28,2010
RM - POLICLINICO UNIVERSITARIO A. GEMELLI,RM,Rene,Rene,34,2010
AQ - OSPEDALE CIVILE S. SALVATORE - L'AQUILA,AQ,Rene,Rene,26,2010
SA - OORR S.GIOVANNI DI DIO E RUGGI D`ARAGONA,SA,Rene,Rene,51,2010
BA - AOU CONSORZIALE POLICLINICO di BARI,BA,Rene,Rene,39,2010
CS - PRESIDIO OSPEDALIERO ANNUNZIATA,CS,Rene,Rene,11,2010
RC - OSPEDALE BIANCHI - MELACRINO - MORELLI,RC,Rene,Rene,8,2010
CT - A.O. UNIVERSITARIA DI CATANIA,CT,Rene,Rene,34,2010
PA - AZIENDA UNIVERSITARIA POLICLINICO,PA,Rene,Rene,1,2010
PA - Is.Me.T.T.,PA,Rene,Rene,14,2010
PA - P.O. CIVICO E BENFRATELLI,PA,Rene,Rene,33,2010
CA - AZIENDA OSPEDALIERA G. BROTZU,CA,Rene,Rene,33,2010
SS - OSPEDALE S.S. ANNUNZIATA SASSARI,SS,Rene,Rene,2,2010
NO - AOU MAGGIORE DELLA CARITA' - NOVARA,NO,Rene,Rene doppio,8,2010
"TO - AOU Città della Salute, PO OIRM",TO,Rene,Rene doppio,0,2010
"TO - AOU Città della Salute, PO S.G.Battista",TO,Rene,Rene doppio,3,2010
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,BG,Rene,Rene doppio,7,2010
BS - PRES. OSPEDAL. SPEDALI CIVILI BRESCIA,BS,Rene,Rene doppio,0,2010
MI - AO NIGUARDA CA' GRANDA - MILANO,MI,Rene,Rene doppio,2,2010
MI - IRCCS S. RAFFAELE - MILANO,MI,Rene,Rene doppio,7,2010
MI - OSPEDALE MAGGIORE POLICLINICO - MILANO,MI,Rene,Rene doppio,0,2010
PV - OSPEDALE POLICLINICO S. MATTEO - PAVIA,PV,Rene,Rene doppio,0,2010
VA - OSPEDALE DI CIRCOLO E FONDAZIONE MACCHI,VA,Rene,Rene doppio,2,2010
PD - AZIENDA OSPEDALIERA DI PADOVA,PD,Rene,Rene doppio,16,2010
TV - OSPEDALE CA' FONCELLO - TREVISO,TV,Rene,Rene doppio,3,2010
VI - OSPEDALE DI VICENZA,VI,Rene,Rene doppio,3,2010
VR - OSPEDALE CIVILE MAGGIORE - VERONA,VR,Rene,Rene doppio,20,2010
UD - AZIENDA OSPEDALIERA S. M. MISERICORDIA,UD,Rene,Rene doppio,4,2010
GE - A.O.U. S. MARTINO - GENOVA,GE,Rene,Rene doppio,2,2010
BO - S.ORSOLA-MALPIGHI - BO,BO,Rene,Rene doppio,4,2010
MO - AZIENDA OSPEDALIERA POLICLINICO - MODENA,MO,Rene,Rene doppio,3,2010
PR - OSPEDALE MAGGIORE - PARMA,PR,Rene,Rene doppio,4,2010
FI - A.O.U. CAREGGI - FIRENZE,FI,Rene,Rene doppio,0,2010
PI - A.O.U. PISANA,PI,Rene,Rene doppio,10,2010
SI - A.O.U. SENESE - S.M. alle SCOTTE,SI,Rene,Rene doppio,2,2010
PG - AZIENDA OSPEDALIERA DI PERUGIA,PG,Rene,Rene doppio,0,2010
AN - PRESIDIO OSPEDALIERO UMBERTO I - ANCONA,AN,Rene,Rene doppio,0,2010
RM - A.O. SAN CAMILLO - FORLANINI,RM,Rene,Rene doppio,5,2010
RM - AZ. OSP. UNIV. POLICLINICO TOR VERGATA,RM,Rene,Rene doppio,0,2010
RM - OSPEDALE PEDIATRICO BAMBINO GESU',RM,Rene,Rene doppio,0,2010
RM - OSPEDALE S. EUGENIO,RM,Rene,Rene doppio,4,2010
"RM - POLICLINICO UMBERTO I - ROMA, convenzione LAZIO",RM,Rene,Rene doppio,0,2010
RM - POLICLINICO UMBERTO I - ROMA,RM,Rene,Rene doppio,0,2010
RM - POLICLINICO UNIVERSITARIO A. GEMELLI,RM,Rene,Rene doppio,1,2010
AQ - OSPEDALE CIVILE S. SALVATORE - L'AQUILA,AQ,Rene,Rene doppio,0,2010
SA - OORR S.GIOVANNI DI DIO E RUGGI D`ARAGONA,SA,Rene,Rene doppio,0,2010
BA - AOU CONSORZIALE POLICLINICO di BARI,BA,Rene,Rene doppio,5,2010
CS - PRESIDIO OSPEDALIERO ANNUNZIATA,CS,Rene,Rene doppio,0,2010
RC - OSPEDALE BIANCHI - MELACRINO - MORELLI,RC,Rene,Rene doppio,0,2010
CT - A.O. UNIVERSITARIA DI CATANIA,CT,Rene,Rene doppio,3,2010
PA - AZIENDA UNIVERSITARIA POLICLINICO,PA,Rene,Rene doppio,0,2010
PA - Is.Me.T.T.,PA,Rene,Rene doppio,3,2010
PA - P.O. CIVICO E BENFRATELLI,PA,Rene,Rene doppio,0,2010
CA - AZIENDA OSPEDALIERA G. BROTZU,CA,Rene,Rene doppio,4,2010
SS - OSPEDALE S.S. ANNUNZIATA SASSARI,SS,Rene,Rene doppio,0,2010
NO - AOU MAGGIORE DELLA CARITA' - NOVARA,NO,Rene,Rene - fegato,0,2010
"TO - AOU Città della Salute, PO OIRM",TO,Rene,Rene - fegato,0,2010
"TO - AOU Città della Salute, PO S.G.Battista",TO,Rene,Rene - fegato,6,2010
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,BG,Rene,Rene - fegato,1,2010
BS - PRES. OSPEDAL. SPEDALI CIVILI BRESCIA,BS,Rene,Rene - fegato,0,2010
MI - AO NIGUARDA CA' GRANDA - MILANO,MI,Rene,Rene - fegato,3,2010
MI - IRCCS S. RAFFAELE - MILANO,MI,Rene,Rene - fegato,0,2010
