Struttura trapianto,Cuore,Cuore - polmone doppio,Cuore - fegato,Rene - cuore,Totale Trapianti
"TO - AOU Città della Salute, PO OIRM",4,0,0,0,4
"TO - AOU Città della Salute, PO S.G.Battista",22,0,0,0,22
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,27,0,0,0,27
MI - AO NIGUARDA CA' GRANDA - MILANO,25,0,0,1,26
PV - OSPEDALE POLICLINICO S. MATTEO - PAVIA,19,3,0,0,22
PD - AZIENDA OSPEDALIERA DI PADOVA,21,0,0,0,21
VR - OSPEDALE CIVILE MAGGIORE - VERONA,15,0,0,1,16
UD - AZIENDA OSPEDALIERA S. M. MISERICORDIA,29,0,0,0,29
BO - S.ORSOLA-MALPIGHI - BO,24,1,1,0,26
SI - A.O.U. SENESE - S.M. alle SCOTTE,9,0,0,1,10
RM - A.O. SAN CAMILLO - FORLANINI,11,0,0,0,11
RM - OSPEDALE PEDIATRICO BAMBINO GESU',11,0,0,0,11
CH - OSPEDALE SAN CAMILLO DE' LELLIS,1,0,0,0,1
NA - A. O. MONALDI,20,0,0,0,20
BA - AOU CONSORZIALE POLICLINICO di BARI,10,0,0,0,10
PA - Is.Me.T.T.,14,0,0,0,14
CA - AZIENDA OSPEDALIERA G. BROTZU,3,0,0,0,3
Totale,265,4,1,3,273
