Struttura trapianto,Fegato,Fegato - pancreas,Fegato - pancreas - intestino,Rene - fegato,Rene - fegato - pancreas,Cuore - fegato,Totale Trapianti
"TO - AOU Città della Salute, PO S.G.Battista",135,1,0,6,0,0,142
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,75,0,0,1,1,0,77
MI - AO NIGUARDA CA' GRANDA - MILANO,58,0,0,3,0,0,61
MI - ISTITUTO NAZ.LE PER CURA TUMORI - MILANO,31,0,0,0,0,0,31
MI - OSPEDALE MAGGIORE POLICLINICO - MILANO,41,0,0,1,0,0,42
PD - AZIENDA OSPEDALIERA DI PADOVA,70,0,0,1,0,0,71
VR - OSPEDALE CIVILE MAGGIORE - VERONA,18,0,0,0,0,0,18
UD - POLICLINICO UNIVERSITARIO,33,0,0,0,0,0,33
GE - A.O.U. S. MARTINO - GENOVA,27,0,0,3,0,0,30
BO - S.ORSOLA-MALPIGHI - BO,77,0,1,4,0,1,83
MO - AZIENDA OSPEDALIERA POLICLINICO - MODENA,39,0,0,4,0,0,43
PI - A.O.U. PISANA,95,0,0,0,0,0,95
AN - PRESIDIO OSPEDALIERO UMBERTO I - ANCONA,43,0,0,0,0,0,43
RM - A.O. SAN CAMILLO - FORLANINI,19,0,0,0,0,0,19
RM - AZ. OSP. UNIV. POLICLINICO TOR VERGATA,3,0,0,0,0,0,3
RM - OSPEDALE PEDIATRICO BAMBINO GESU',12,0,0,3,0,0,15
RM - OSPEDALE S. EUGENIO,17,0,0,1,0,0,18
RM - POLICLINICO UMBERTO I - ROMA,15,0,0,0,0,0,15
"RM - POLICLINICO UMBERTO I - ROMA, convenzione LAZIO",2,0,0,0,0,0,2
RM - POLICLINICO UNIVERSITARIO A. GEMELLI,17,0,0,0,0,0,17
NA - AZIENDA OSPEDALIERA A. CARDARELLI,41,0,0,0,0,0,41
BA - AOU CONSORZIALE POLICLINICO di BARI,22,0,0,0,0,0,22
PA - Is.Me.T.T.,55,0,0,3,0,0,58
CA - AZIENDA OSPEDALIERA G. BROTZU,22,0,0,0,0,0,22
Totale,967,1,1,30,1,1,1001
