Struttura trapianto,Pancreas,Pancreas - intestino,Rene - pancreas,Fegato - pancreas,Rene - fegato - pancreas,Fegato - pancreas - intestino,Totale Trapianti
"TO - AOU Città della Salute, PO S.G.Battista",1,0,2,1,0,0,4
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,0,1,1,0,1,0,3
MI - AO NIGUARDA CA' GRANDA - MILANO,1,0,0,0,0,0,1
MI - IRCCS S. RAFFAELE - MILANO,7,0,4,0,0,0,11
PD - AZIENDA OSPEDALIERA DI PADOVA,0,0,6,0,0,0,6
UD - AZIENDA OSPEDALIERA S. M. MISERICORDIA,0,0,2,0,0,0,2
GE - A.O.U. S. MARTINO - GENOVA,0,0,3,0,0,0,3
BO - S.ORSOLA-MALPIGHI - BO,0,0,0,0,0,1,1
PR - OSPEDALE MAGGIORE - PARMA,0,0,1,0,0,0,1
PI - A.O.U. PISANA,7,0,7,0,0,0,14
AN - PRESIDIO OSPEDALIERO UMBERTO I - ANCONA,0,0,1,0,0,0,1
Totale,16,1,27,1,1,1,47
