Struttura trapianto,Polmone,Polmone doppio,Cuore - polmone doppio,Totale Trapianti
"TO - AOU Città della Salute, PO S.G.Battista",5,10,0,15
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,6,7,0,13
MI - AO NIGUARDA CA' GRANDA - MILANO,0,3,0,3
MI - OSPEDALE MAGGIORE POLICLINICO - MILANO,2,8,0,10
PV - OSPEDALE POLICLINICO S. MATTEO - PAVIA,5,3,3,11
PD - AZIENDA OSPEDALIERA DI PADOVA,7,18,0,25
BO - S.ORSOLA-MALPIGHI - BO,0,1,1,2
SI - A.O.U. SENESE - S.M. alle SCOTTE,6,3,0,9
RM - POLICLINICO UMBERTO I - ROMA,3,4,0,7
PA - Is.Me.T.T.,3,9,0,12
Totale,37,66,4,107
