Struttura trapianto,Rene,Rene doppio,Rene - fegato,Rene - pancreas,Rene - fegato - pancreas,Rene - cuore,Totale Trapianti
NO - AOU MAGGIORE DELLA CARITA' - NOVARA,67,8,0,0,0,0,75
"TO - AOU Città della Salute, PO OIRM",5,0,0,0,0,0,5
"TO - AOU Città della Salute, PO S.G.Battista",109,3,6,2,0,0,120
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,17,7,1,1,1,0,27
BS - PRES. OSPEDAL. SPEDALI CIVILI BRESCIA,47,0,0,0,0,0,47
MI - AO NIGUARDA CA' GRANDA - MILANO,54,2,3,0,0,1,60
MI - IRCCS S. RAFFAELE - MILANO,28,7,0,4,0,0,39
MI - OSPEDALE MAGGIORE POLICLINICO - MILANO,53,0,1,0,0,0,54
PV - OSPEDALE POLICLINICO S. MATTEO - PAVIA,28,0,0,0,0,0,28
VA - OSPEDALE DI CIRCOLO E FONDAZIONE MACCHI,43,2,0,0,0,0,45
PD - AZIENDA OSPEDALIERA DI PADOVA,60,16,1,6,0,0,83
TV - OSPEDALE CA' FONCELLO - TREVISO,42,3,0,0,0,0,45
VI - OSPEDALE DI VICENZA,25,3,0,0,0,0,28
VR - OSPEDALE CIVILE MAGGIORE - VERONA,47,20,0,0,0,1,68
UD - AZIENDA OSPEDALIERA S. M. MISERICORDIA,34,4,0,2,0,0,40
GE - A.O.U. S. MARTINO - GENOVA,41,2,3,3,0,0,49
BO - S.ORSOLA-MALPIGHI - BO,54,4,4,0,0,0,62
MO - AZIENDA OSPEDALIERA POLICLINICO - MODENA,22,3,4,0,0,0,29
PR - OSPEDALE MAGGIORE - PARMA,31,4,0,1,0,0,36
FI - A.O.U. CAREGGI - FIRENZE,31,0,0,0,0,0,31
PI - A.O.U. PISANA,10,10,0,7,0,0,27
SI - A.O.U. SENESE - S.M. alle SCOTTE,42,2,0,0,0,1,45
PG - AZIENDA OSPEDALIERA DI PERUGIA,10,0,0,0,0,0,10
AN - PRESIDIO OSPEDALIERO UMBERTO I - ANCONA,34,0,0,1,0,0,35
RM - A.O. SAN CAMILLO - FORLANINI,35,5,0,0,0,0,40
RM - AZ. OSP. UNIV. POLICLINICO TOR VERGATA,3,0,0,0,0,0,3
RM - OSPEDALE PEDIATRICO BAMBINO GESU',5,0,3,0,0,0,8
RM - OSPEDALE S. EUGENIO,31,4,1,0,0,0,36
"RM - POLICLINICO UMBERTO I - ROMA, convenzione LAZIO",3,0,0,0,0,0,3
RM - POLICLINICO UMBERTO I - ROMA,28,0,0,0,0,0,28
RM - POLICLINICO UNIVERSITARIO A. GEMELLI,34,1,0,0,0,0,35
AQ - OSPEDALE CIVILE S. SALVATORE - L'AQUILA,26,0,0,0,0,0,26
SA - OORR S.GIOVANNI DI DIO E RUGGI D`ARAGONA,51,0,0,0,0,0,51
BA - AOU CONSORZIALE POLICLINICO di BARI,39,5,0,0,0,0,44
CS - PRESIDIO OSPEDALIERO ANNUNZIATA,11,0,0,0,0,0,11
RC - OSPEDALE BIANCHI - MELACRINO - MORELLI,8,0,0,0,0,0,8
CT - A.O. UNIVERSITARIA DI CATANIA,34,3,0,0,0,0,37
PA - AZIENDA UNIVERSITARIA POLICLINICO,1,0,0,0,0,0,1
PA - Is.Me.T.T.,14,3,3,0,0,0,20
PA - P.O. CIVICO E BENFRATELLI,33,0,0,0,0,0,33
CA - AZIENDA OSPEDALIERA G. BROTZU,33,4,0,0,0,0,37
SS - OSPEDALE S.S. ANNUNZIATA SASSARI,2,0,0,0,0,0,2
Totale,1325,125,30,27,1,3,1511
