Struttura trapianto,Fegato,Fegato - pancreas - intestino,Fegato - pancreas,Rene - fegato,Cuore - fegato,Totale Trapianti
"TO - AOU Città della Salute, PO S.G.Battista",132,0,0,5,0,137
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,81,1,1,2,0,85
MI - AO NIGUARDA CA' GRANDA - MILANO,70,0,0,1,0,71
MI - ISTITUTO NAZ.LE PER CURA TUMORI - MILANO,36,0,0,0,0,36
MI - OSPEDALE MAGGIORE POLICLINICO - MILANO,43,0,0,2,0,45
PD - AZIENDA OSPEDALIERA DI PADOVA,75,0,0,0,0,75
VR - OSPEDALE CIVILE MAGGIORE - VERONA,21,0,0,0,0,21
UD - POLICLINICO UNIVERSITARIO,29,0,0,1,0,30
GE - A.O.U. S. MARTINO - GENOVA,11,0,0,0,0,11
BO - S.ORSOLA-MALPIGHI - BO,63,1,0,4,3,71
MO - AZIENDA OSPEDALIERA POLICLINICO - MODENA,30,0,0,1,0,31
PI - A.O.U. PISANA,114,0,0,1,0,115
AN - PRESIDIO OSPEDALIERO UMBERTO I - ANCONA,36,0,0,0,0,36
RM - A.O. SAN CAMILLO - FORLANINI,22,0,0,0,0,22
RM - AZ. OSP. UNIV. POLICLINICO TOR VERGATA,21,0,0,1,0,22
RM - OSPEDALE PEDIATRICO BAMBINO GESU',11,0,0,2,0,13
"RM - POLICLINICO UMBERTO I - ROMA, convenzione LAZIO",2,0,0,0,0,2
RM - POLICLINICO UMBERTO I - ROMA,19,0,0,1,0,20
RM - POLICLINICO UNIVERSITARIO A. GEMELLI,19,0,0,0,0,19
NA - AZIENDA OSPEDALIERA A. CARDARELLI,42,0,0,1,0,43
BA - AOU CONSORZIALE POLICLINICO di BARI,24,0,0,0,0,24
PA - Is.Me.T.T.,63,0,0,0,0,63
CA - AZIENDA OSPEDALIERA G. BROTZU,26,0,0,0,0,26
Totale,990,2,1,22,3,1018
