Struttura trapianto,Pancreas,Rene - pancreas,Fegato - pancreas - intestino,Fegato - pancreas,Totale Trapianti
"TO - AOU Città della Salute, PO S.G.Battista",0,1,0,0,1
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,0,0,1,1,2
MI - AO NIGUARDA CA' GRANDA - MILANO,0,2,0,0,2
MI - IRCCS S. RAFFAELE - MILANO,3,6,0,0,9
PD - AZIENDA OSPEDALIERA DI PADOVA,3,7,0,0,10
UD - AZIENDA OSPEDALIERA S. M. MISERICORDIA,0,1,0,0,1
BO - S.ORSOLA-MALPIGHI - BO,0,0,1,0,1
PR - OSPEDALE MAGGIORE - PARMA,0,3,0,0,3
PI - A.O.U. PISANA,7,11,0,0,18
RM - A.O. SAN CAMILLO - FORLANINI,1,3,0,0,4
CT - A.O. UNIVERSITARIA DI CATANIA,0,1,0,0,1
PA - Is.Me.T.T.,0,2,0,0,2
CA - AZIENDA OSPEDALIERA G. BROTZU,0,4,0,0,4
Totale,14,41,2,1,58
