Struttura trapianto,Cuore,Cuore - fegato,Cuore - polmone doppio,Rene - cuore,Totale Trapianti
"TO - AOU Città della Salute, PO OIRM",1,0,0,0,1
"TO - AOU Città della Salute, PO S.G.Battista",9,0,0,0,9
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,16,0,0,0,16
MI - AO NIGUARDA CA' GRANDA - MILANO,21,0,0,0,21
PV - OSPEDALE POLICLINICO S. MATTEO - PAVIA,22,0,0,0,22
PD - AZIENDA OSPEDALIERA DI PADOVA,20,0,0,1,21
VR - OSPEDALE CIVILE MAGGIORE - VERONA,11,0,0,0,11
UD - AZIENDA OSPEDALIERA S. M. MISERICORDIA,19,0,0,2,21
BO - S.ORSOLA-MALPIGHI - BO,19,1,0,0,20
SI - A.O.U. SENESE - S.M. alle SCOTTE,15,0,0,0,15
RM - A.O. SAN CAMILLO - FORLANINI,8,0,0,0,8
RM - OSPEDALE PEDIATRICO BAMBINO GESU',14,0,1,0,15
NA - A. O. MONALDI,26,0,0,1,27
BA - AOU CONSORZIALE POLICLINICO di BARI,3,0,0,0,3
CT - AZ.OSP. V.EMANUELE FERRAROTTO S.BAMBINO,1,0,0,0,1
PA - Is.Me.T.T.,12,0,0,0,12
CA - AZIENDA OSPEDALIERA G. BROTZU,8,0,0,0,8
Totale,225,1,1,4,231
