Struttura trapianto,Fegato,Fegato - pancreas - polmone doppio,Fegato - pancreas,Rene - fegato,Cuore - fegato,Totale Trapianti
"TO - AOU Città della Salute, PO S.G.Battista",125,0,0,3,0,128
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,85,1,2,2,0,90
MI - AO NIGUARDA CA' GRANDA - MILANO,80,0,0,4,0,84
MI - ISTITUTO NAZ.LE PER CURA TUMORI - MILANO,35,0,0,0,0,35
MI - OSPEDALE MAGGIORE POLICLINICO - MILANO,48,0,0,1,0,49
PD - AZIENDA OSPEDALIERA DI PADOVA,81,0,0,1,0,82
VR - OSPEDALE CIVILE MAGGIORE - VERONA,26,0,0,0,0,26
UD - AZIENDA OSPEDALIERA S. M. MISERICORDIA,6,0,0,0,0,6
UD - POLICLINICO UNIVERSITARIO,10,0,0,0,0,10
BO - S.ORSOLA-MALPIGHI - BO,75,0,0,2,1,78
MO - AZIENDA OSPEDALIERA POLICLINICO - MODENA,37,0,0,2,0,39
PI - A.O.U. PISANA,85,0,0,0,0,85
AN - PRESIDIO OSPEDALIERO UMBERTO I - ANCONA,42,0,0,1,0,43
RM - A.O. SAN CAMILLO - FORLANINI,25,0,0,0,0,25
RM - AZ. OSP. UNIV. POLICLINICO TOR VERGATA,29,0,0,3,0,32
RM - OSPEDALE PEDIATRICO BAMBINO GESU',13,0,0,0,0,13
RM - POLICLINICO UMBERTO I - ROMA,20,0,0,1,0,21
"RM - POLICLINICO UMBERTO I - ROMA, convenzione LAZIO",2,0,0,0,0,2
RM - POLICLINICO UNIVERSITARIO A. GEMELLI,19,0,0,0,0,19
NA - AZIENDA OSPEDALIERA A. CARDARELLI,24,0,0,0,0,24
BA - AOU CONSORZIALE POLICLINICO di BARI,15,0,0,0,0,15
PA - Is.Me.T.T.,61,0,0,2,0,63
CA - AZIENDA OSPEDALIERA G. BROTZU,18,0,0,0,0,18
Totale,961,1,2,22,1,987
