Struttura trapianto,Pancreas,Rene - pancreas,Fegato - pancreas - polmone doppio,Fegato - pancreas,Totale Trapianti
"TO - AOU Città della Salute, PO S.G.Battista",0,4,0,0,4
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,0,1,1,2,4
MI - AO NIGUARDA CA' GRANDA - MILANO,1,6,0,0,7
MI - IRCCS S. RAFFAELE - MILANO,4,6,0,0,10
PD - AZIENDA OSPEDALIERA DI PADOVA,0,10,0,0,10
GE - A.O.U. S. MARTINO - GENOVA,0,1,0,0,1
PI - A.O.U. PISANA,5,10,0,0,15
RM - A.O. SAN CAMILLO - FORLANINI,0,6,0,0,6
CT - A.O. UNIVERSITARIA DI CATANIA,0,1,0,0,1
PA - Is.Me.T.T.,1,0,0,0,1
CA - AZIENDA OSPEDALIERA G. BROTZU,0,8,0,0,8
Totale,11,53,1,2,67
