Struttura trapianto,Polmone,Polmone doppio,Fegato - pancreas - polmone doppio,Cuore - polmone doppio,Totale Trapianti
"TO - AOU Città della Salute, PO S.G.Battista",5,14,0,0,19
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,3,4,1,0,8
MI - AO NIGUARDA CA' GRANDA - MILANO,2,1,0,0,3
MI - OSPEDALE MAGGIORE POLICLINICO - MILANO,9,6,0,0,15
PV - OSPEDALE POLICLINICO S. MATTEO - PAVIA,4,3,0,0,7
PD - AZIENDA OSPEDALIERA DI PADOVA,3,20,0,0,23
BO - S.ORSOLA-MALPIGHI - BO,2,1,0,0,3
SI - A.O.U. SENESE - S.M. alle SCOTTE,3,6,0,0,9
RM - OSPEDALE PEDIATRICO BAMBINO GESU',0,0,0,1,1
RM - POLICLINICO UMBERTO I - ROMA,4,8,0,0,12
PA - Is.Me.T.T.,1,12,0,0,13
Totale,36,75,1,1,113
