Struttura trapianto,Rene,Rene doppio,Rene - pancreas,Rene - fegato,Rene - cuore,Totale Trapianti
NO - AOU MAGGIORE DELLA CARITA' - NOVARA,51,2,0,0,0,53
"TO - AOU Città della Salute, PO OIRM",7,0,0,0,0,7
"TO - AOU Città della Salute, PO S.G.Battista",95,3,4,3,0,105
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,37,3,1,2,0,43
BS - PRES. OSPEDAL. SPEDALI CIVILI BRESCIA,55,0,0,0,0,55
MI - AO NIGUARDA CA' GRANDA - MILANO,48,5,6,4,0,63
MI - IRCCS S. RAFFAELE - MILANO,22,3,6,0,0,31
MI - OSPEDALE MAGGIORE POLICLINICO - MILANO,52,0,0,1,0,53
PV - OSPEDALE POLICLINICO S. MATTEO - PAVIA,31,0,0,0,0,31
VA - OSPEDALE DI CIRCOLO E FONDAZIONE MACCHI,39,0,0,0,0,39
PD - AZIENDA OSPEDALIERA DI PADOVA,60,18,10,1,1,90
TV - OSPEDALE CA' FONCELLO - TREVISO,48,4,0,0,0,52
VI - OSPEDALE DI VICENZA,20,5,0,0,0,25
VR - OSPEDALE CIVILE MAGGIORE - VERONA,61,15,0,0,0,76
UD - AZIENDA OSPEDALIERA S. M. MISERICORDIA,41,1,0,0,2,44
GE - A.O.U. S. MARTINO - GENOVA,37,3,1,0,0,41
BO - S.ORSOLA-MALPIGHI - BO,66,5,0,2,0,73
MO - AZIENDA OSPEDALIERA POLICLINICO - MODENA,16,2,0,2,0,20
PR - OSPEDALE MAGGIORE - PARMA,36,1,0,0,0,37
FI - A.O.U. CAREGGI - FIRENZE,28,0,0,0,0,28
PI - A.O.U. PISANA,23,6,10,0,0,39
SI - A.O.U. SENESE - S.M. alle SCOTTE,52,9,0,0,0,61
PG - AZIENDA OSPEDALIERA DI PERUGIA,14,0,0,0,0,14
AN - PRESIDIO OSPEDALIERO UMBERTO I - ANCONA,38,0,0,1,0,39
RM - A.O. SAN CAMILLO - FORLANINI,23,6,6,0,0,35
RM - AZ. OSP. UNIV. POLICLINICO TOR VERGATA,36,3,0,3,0,42
RM - OSPEDALE PEDIATRICO BAMBINO GESU',12,0,0,0,0,12
"RM - POLICLINICO UMBERTO I - ROMA, convenzione LAZIO",10,0,0,0,0,10
RM - POLICLINICO UMBERTO I - ROMA,22,0,0,1,0,23
RM - POLICLINICO UNIVERSITARIO A. GEMELLI,31,1,0,0,0,32
AQ - OSPEDALE CIVILE S. SALVATORE - L'AQUILA,38,0,0,0,0,38
NA - A. O. MONALDI,0,0,0,0,1,1
NA - UNIV NAPOLI - FEDERICO II - FAC. MEDIC.,28,1,0,0,0,29
SA - OORR S.GIOVANNI DI DIO E RUGGI D`ARAGONA,31,0,0,0,0,31
BA - AOU CONSORZIALE POLICLINICO di BARI,39,1,0,0,0,40
CS - PRESIDIO OSPEDALIERO ANNUNZIATA,9,0,0,0,0,9
RC - OSPEDALE BIANCHI - MELACRINO - MORELLI,11,0,0,0,0,11
CT - A.O. UNIVERSITARIA DI CATANIA,35,4,1,0,0,40
PA - Is.Me.T.T.,22,2,0,2,0,26
PA - P.O. CIVICO E BENFRATELLI,53,0,0,0,0,53
CA - AZIENDA OSPEDALIERA G. BROTZU,26,4,8,0,0,38
Totale,1403,107,53,22,4,1589
