Struttura trapianto,Fegato,Fegato - polmone doppio,Fegato - pancreas,Rene - fegato,Totale Trapianti
"TO - AOU Città della Salute, PO S.G.Battista",133,1,0,4,138
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,67,0,3,1,71
MI - AO NIGUARDA CA' GRANDA - MILANO,74,0,0,1,75
MI - ISTITUTO NAZ.LE PER CURA TUMORI - MILANO,39,0,0,0,39
MI - OSPEDALE MAGGIORE POLICLINICO - MILANO,42,0,0,4,46
PD - AZIENDA OSPEDALIERA DI PADOVA,86,0,0,0,86
VR - OSPEDALE CIVILE MAGGIORE - VERONA,30,0,0,0,30
UD - AZIENDA OSPEDALIERA S. M. MISERICORDIA,16,0,0,1,17
BO - S.ORSOLA-MALPIGHI - BO,67,0,0,4,71
MO - AZIENDA OSPEDALIERA POLICLINICO - MODENA,40,0,0,2,42
PI - A.O.U. PISANA,115,0,0,0,115
AN - PRESIDIO OSPEDALIERO UMBERTO I - ANCONA,38,0,0,1,39
RM - A.O. SAN CAMILLO - FORLANINI,24,0,0,0,24
RM - AZ. OSP. UNIV. POLICLINICO TOR VERGATA,30,0,0,1,31
RM - OSPEDALE PEDIATRICO BAMBINO GESU',11,0,0,0,11
RM - POLICLINICO UMBERTO I - ROMA,23,0,0,3,26
"RM - POLICLINICO UMBERTO I - ROMA, convenzione LAZIO",3,0,0,0,3
RM - POLICLINICO UNIVERSITARIO A. GEMELLI,21,0,0,0,21
NA - AZIENDA OSPEDALIERA A. CARDARELLI,18,0,0,0,18
BA - AOU CONSORZIALE POLICLINICO di BARI,11,0,0,0,11
PA - Is.Me.T.T.,60,0,0,1,61
CA - AZIENDA OSPEDALIERA G. BROTZU,19,0,0,1,20
Totale,967,1,3,24,995
