Struttura trapianto,Fegato,Rene - fegato,Rene doppio - fegato,Cuore - fegato,Totale Trapianti
"TO - AOU Città della Salute, PO S.G.Battista",118,4,0,0,122
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,89,0,0,0,89
MI - AO NIGUARDA CA' GRANDA - MILANO,83,1,0,0,84
MI - ISTITUTO NAZ.LE PER CURA TUMORI - MILANO,36,0,0,0,36
MI - OSPEDALE MAGGIORE POLICLINICO - MILANO,59,3,0,0,62
PD - AZIENDA OSPEDALIERA DI PADOVA,80,1,0,0,81
VR - OSPEDALE CIVILE MAGGIORE - VERONA,37,1,0,0,38
UD - AZIENDA OSPEDALIERA S. M. MISERICORDIA,29,0,0,0,29
BO - S.ORSOLA-MALPIGHI - BO,62,4,2,1,69
MO - AZIENDA OSPEDALIERA POLICLINICO - MODENA,40,1,0,0,41
PI - A.O.U. PISANA,106,1,0,0,107
AN - PRESIDIO OSPEDALIERO UMBERTO I - ANCONA,41,0,0,0,41
RM - A.O. SAN CAMILLO - FORLANINI,28,0,0,0,28
RM - AZ. OSP. UNIV. POLICLINICO TOR VERGATA,31,3,0,0,34
RM - OSPEDALE PEDIATRICO BAMBINO GESU',13,3,0,0,16
RM - POLICLINICO UMBERTO I - ROMA,16,0,0,0,16
"RM - POLICLINICO UMBERTO I - ROMA, convenzione LAZIO",7,0,0,0,7
RM - POLICLINICO UNIVERSITARIO A. GEMELLI,30,0,0,0,30
"RM - POLICLINICO UNIVERSITARIO A. GEMELLI, convenzione LAZIO",1,0,0,0,1
NA - AZIENDA OSPEDALIERA A. CARDARELLI,25,0,0,0,25
BA - AOU CONSORZIALE POLICLINICO di BARI,17,0,0,0,17
PA - Is.Me.T.T.,56,1,0,0,57
CA - AZIENDA OSPEDALIERA G. BROTZU,29,0,0,0,29
Totale,1033,23,2,1,1059
