Struttura trapianto,Rene,Rene doppio,Rene - pancreas,Rene - fegato,Rene - cuore,Rene doppio - fegato,Totale Trapianti
NO - AOU MAGGIORE DELLA CARITA' - NOVARA,49,4,0,0,0,0,53
"TO - AOU Città della Salute, PO OIRM",5,0,0,0,0,0,5
"TO - AOU Città della Salute, PO S.G.Battista",99,0,2,4,1,0,106
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,42,6,0,0,0,0,48
BS - PRES. OSPEDAL. SPEDALI CIVILI BRESCIA,52,0,0,0,0,0,52
MI - AO NIGUARDA CA' GRANDA - MILANO,53,7,1,1,0,0,62
MI - IRCCS S. RAFFAELE - MILANO,22,5,6,0,0,0,33
MI - OSPEDALE MAGGIORE POLICLINICO - MILANO,46,2,0,3,0,0,51
PV - OSPEDALE POLICLINICO S. MATTEO - PAVIA,28,0,0,0,0,0,28
VA - OSPEDALE DI CIRCOLO E FONDAZIONE MACCHI,32,2,0,0,0,0,34
PD - AZIENDA OSPEDALIERA DI PADOVA,71,15,7,1,0,0,94
TV - OSPEDALE CA' FONCELLO - TREVISO,32,4,0,0,0,0,36
VI - OSPEDALE DI VICENZA,25,3,0,0,0,0,28
VR - OSPEDALE CIVILE MAGGIORE - VERONA,81,10,0,1,0,0,92
UD - AZIENDA OSPEDALIERA S. M. MISERICORDIA,33,0,0,0,1,0,34
GE - A.O.U. S. MARTINO - GENOVA,61,10,1,0,0,0,72
BO - S.ORSOLA-MALPIGHI - BO,41,7,0,4,1,2,55
MO - AZIENDA OSPEDALIERA POLICLINICO - MODENA,20,1,0,1,0,0,22
PR - OSPEDALE MAGGIORE - PARMA,31,1,3,0,0,0,35
FI - A.O.U. CAREGGI - FIRENZE,27,0,0,0,0,0,27
PI - A.O.U. PISANA,25,3,4,1,0,0,33
SI - A.O.U. SENESE - S.M. alle SCOTTE,47,3,0,0,0,0,50
PG - AZIENDA OSPEDALIERA DI PERUGIA,15,0,0,0,0,0,15
AN - PRESIDIO OSPEDALIERO UMBERTO I - ANCONA,42,0,0,0,0,0,42
RM - A.O. SAN CAMILLO - FORLANINI,26,2,1,0,0,0,29
RM - AZ. OSP. UNIV. POLICLINICO TOR VERGATA,36,3,0,3,0,0,42
RM - OSPEDALE PEDIATRICO BAMBINO GESU',15,0,0,3,0,0,18
RM - POLICLINICO UMBERTO I - ROMA,35,0,0,0,0,0,35
"RM - POLICLINICO UMBERTO I - ROMA, convenzione LAZIO",2,0,0,0,0,0,2
RM - POLICLINICO UNIVERSITARIO A. GEMELLI,46,1,0,0,0,0,47
AQ - OSPEDALE CIVILE S. SALVATORE - L'AQUILA,29,0,0,0,0,0,29
NA - UNIV NAPOLI - FEDERICO II - FAC. MEDIC.,27,1,0,0,0,0,28
SA - OORR S.GIOVANNI DI DIO E RUGGI D`ARAGONA,24,0,0,0,0,0,24
BA - AOU CONSORZIALE POLICLINICO di BARI,50,2,0,0,0,0,52
CS - PRESIDIO OSPEDALIERO ANNUNZIATA,10,0,0,0,0,0,10
RC - OSPEDALE BIANCHI - MELACRINO - MORELLI,16,0,0,0,0,0,16
CT - A.O. UNIVERSITARIA DI CATANIA,38,0,0,0,0,0,38
PA - Is.Me.T.T.,17,1,0,1,0,0,19
PA - P.O. CIVICO E BENFRATELLI,55,0,0,0,0,0,55
CA - AZIENDA OSPEDALIERA G. BROTZU,34,0,4,0,0,0,38
Totale,1439,93,29,23,3,2,1589
