Struttura trapianto,Cuore,Cuore - polmone doppio,Cuore - fegato,Totale Trapianti
"TO - AOU Città della Salute, PO OIRM",4,0,0,4
"TO - AOU Città della Salute, PO S.G.Battista",13,1,0,14
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,22,0,0,22
MI - AO NIGUARDA CA' GRANDA - MILANO,29,0,0,29
PV - OSPEDALE POLICLINICO S. MATTEO - PAVIA,13,0,0,13
PD - AZIENDA OSPEDALIERA DI PADOVA,27,0,0,27
VR - OSPEDALE CIVILE MAGGIORE - VERONA,9,0,1,10
UD - AZIENDA OSPEDALIERA S. M. MISERICORDIA,21,0,0,21
BO - S.ORSOLA-MALPIGHI - BO,18,0,0,18
SI - A.O.U. SENESE - S.M. alle SCOTTE,13,0,0,13
RM - A.O. SAN CAMILLO - FORLANINI,15,0,0,15
RM - OSPEDALE PEDIATRICO BAMBINO GESU',12,0,0,12
RM - POLICLINICO UMBERTO I - ROMA,1,0,0,1
NA - A. O. MONALDI,21,0,0,21
BA - AOU CONSORZIALE POLICLINICO di BARI,4,0,0,4
PA - Is.Me.T.T.,18,0,0,18
CA - AZIENDA OSPEDALIERA G. BROTZU,3,0,0,3
Totale,243,1,1,245
