Struttura trapianto,Fegato,Fegato - pancreas,Fegato - polmone doppio,Rene - fegato,Cuore - fegato,Rene doppio - fegato,Totale Trapianti
"TO - AOU Città della Salute, PO S.G.Battista",102,1,0,5,0,0,108
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,95,1,0,1,0,0,97
MI - AO NIGUARDA CA' GRANDA - MILANO,75,1,0,0,0,0,76
MI - ISTITUTO NAZ.LE PER CURA TUMORI - MILANO,34,0,0,0,0,0,34
MI - OSPEDALE MAGGIORE POLICLINICO - MILANO,63,0,0,0,0,0,63
PD - AZIENDA OSPEDALIERA DI PADOVA,77,0,0,0,0,0,77
VR - OSPEDALE CIVILE MAGGIORE - VERONA,47,0,0,2,1,0,50
UD - AZIENDA OSPEDALIERA S. M. MISERICORDIA,25,0,0,0,0,0,25
BO - S.ORSOLA-MALPIGHI - BO,72,0,0,3,0,2,77
MO - AZIENDA OSPEDALIERA POLICLINICO - MODENA,36,0,0,1,0,1,38
PI - A.O.U. PISANA,119,0,0,0,0,0,119
AN - PRESIDIO OSPEDALIERO UMBERTO I - ANCONA,31,0,0,2,0,0,33
RM - A.O. SAN CAMILLO - FORLANINI,35,0,0,0,0,0,35
RM - AZ. OSP. UNIV. POLICLINICO TOR VERGATA,30,0,0,1,0,0,31
RM - OSPEDALE PEDIATRICO BAMBINO GESU',14,0,0,1,0,0,15
RM - POLICLINICO UMBERTO I - ROMA,19,0,0,0,0,0,19
"RM - POLICLINICO UMBERTO I - ROMA, convenzione LAZIO",11,0,0,0,0,0,11
RM - POLICLINICO UNIVERSITARIO A. GEMELLI,26,0,0,1,0,0,27
"RM - POLICLINICO UNIVERSITARIO A. GEMELLI, convenzione LAZIO",3,0,0,0,0,0,3
NA - AZIENDA OSPEDALIERA A. CARDARELLI,41,0,0,0,0,0,41
BA - AOU CONSORZIALE POLICLINICO di BARI,24,0,0,0,0,0,24
PA - Is.Me.T.T.,52,0,1,1,0,0,54
CA - AZIENDA OSPEDALIERA G. BROTZU,14,0,0,0,0,0,14
Totale,1045,3,1,18,1,3,1071
