Struttura trapianto,Rene,Rene doppio,Rene - fegato,Rene - pancreas,Rene doppio - fegato,Totale Trapianti
NO - AOU MAGGIORE DELLA CARITA' - NOVARA,38,1,0,0,0,39
"TO - AOU Città della Salute, PO OIRM",4,0,0,0,0,4
"TO - AOU Città della Salute, PO S.G.Battista",79,3,5,0,0,87
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,37,9,1,0,0,47
BS - PRES. OSPEDAL. SPEDALI CIVILI BRESCIA,50,1,0,0,0,51
MI - AO NIGUARDA CA' GRANDA - MILANO,50,10,0,5,0,65
MI - IRCCS S. RAFFAELE - MILANO,24,7,0,5,0,36
MI - OSPEDALE MAGGIORE POLICLINICO - MILANO,44,2,0,0,0,46
PV - OSPEDALE POLICLINICO S. MATTEO - PAVIA,28,0,0,0,0,28
VA - OSPEDALE DI CIRCOLO E FONDAZIONE MACCHI,49,1,0,0,0,50
PD - AZIENDA OSPEDALIERA DI PADOVA,72,19,0,8,0,99
TV - OSPEDALE CA' FONCELLO - TREVISO,34,4,0,0,0,38
VI - OSPEDALE DI VICENZA,17,4,0,0,0,21
VR - OSPEDALE CIVILE MAGGIORE - VERONA,73,12,2,0,0,87
UD - AZIENDA OSPEDALIERA S. M. MISERICORDIA,44,0,0,0,0,44
GE - A.O.U. S. MARTINO - GENOVA,53,3,0,0,0,56
BO - S.ORSOLA-MALPIGHI - BO,63,9,3,0,2,77
MO - AZIENDA OSPEDALIERA POLICLINICO - MODENA,24,1,1,0,1,27
PR - OSPEDALE MAGGIORE - PARMA,33,0,0,0,0,33
FI - A.O.U. CAREGGI - FIRENZE,35,0,0,0,0,35
PI - A.O.U. PISANA,19,2,0,6,0,27
SI - A.O.U. SENESE - S.M. alle SCOTTE,43,6,0,0,0,49
PG - AZIENDA OSPEDALIERA DI PERUGIA,8,0,0,0,0,8
AN - PRESIDIO OSPEDALIERO UMBERTO I - ANCONA,39,0,2,0,0,41
RM - A.O. SAN CAMILLO - FORLANINI,29,2,0,5,0,36
RM - AZ. OSP. UNIV. POLICLINICO TOR VERGATA,49,3,1,0,0,53
RM - OSPEDALE PEDIATRICO BAMBINO GESU',9,0,1,0,0,10
RM - POLICLINICO UMBERTO I - ROMA,28,0,0,0,0,28
"RM - POLICLINICO UMBERTO I - ROMA, convenzione LAZIO",1,0,0,0,0,1
RM - POLICLINICO UNIVERSITARIO A. GEMELLI,33,2,1,0,0,36
AQ - OSPEDALE CIVILE S. SALVATORE - L'AQUILA,27,0,0,0,0,27
NA - UNIV NAPOLI - FEDERICO II - FAC. MEDIC.,37,2,0,0,0,39
SA - OORR S.GIOVANNI DI DIO E RUGGI D`ARAGONA,38,0,0,0,0,38
BA - AOU CONSORZIALE POLICLINICO di BARI,60,0,0,0,0,60
CS - PRESIDIO OSPEDALIERO ANNUNZIATA,11,0,0,0,0,11
RC - OSPEDALE BIANCHI - MELACRINO - MORELLI,13,0,0,0,0,13
CT - A.O. UNIVERSITARIA DI CATANIA,35,1,0,0,0,36
PA - Is.Me.T.T.,20,0,1,1,0,22
PA - P.O. CIVICO E BENFRATELLI,40,0,0,0,0,40
CA - AZIENDA OSPEDALIERA G. BROTZU,31,1,0,1,0,33
Totale,1421,105,18,31,3,1578
