Struttura trapianto,Cuore,Rene - cuore,Totale Trapianti
"TO - AOU Città della Salute, PO OIRM",3,1,4
"TO - AOU Città della Salute, PO S.G.Battista",19,0,19
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,14,0,14
MI - AO NIGUARDA CA' GRANDA - MILANO,30,0,30
PV - OSPEDALE POLICLINICO S. MATTEO - PAVIA,14,0,14
PD - AZIENDA OSPEDALIERA DI PADOVA,39,0,39
VR - OSPEDALE CIVILE MAGGIORE - VERONA,14,0,14
UD - AZIENDA OSPEDALIERA S. M. MISERICORDIA,24,1,25
BO - S.ORSOLA-MALPIGHI - BO,28,0,28
SI - A.O.U. SENESE - S.M. alle SCOTTE,10,0,10
RM - A.O. SAN CAMILLO - FORLANINI,15,1,16
RM - OSPEDALE PEDIATRICO BAMBINO GESU',13,1,14
NA - A. O. MONALDI,20,0,20
BA - AOU CONSORZIALE POLICLINICO di BARI,2,0,2
PA - Is.Me.T.T.,13,0,13
CA - AZIENDA OSPEDALIERA G. BROTZU,5,0,5
Totale,263,4,267
