Struttura trapianto,Pancreas,Rene - pancreas,Fegato - pancreas - intestino,Totale Trapianti
"TO - AOU Città della Salute, PO S.G.Battista",0,2,0,2
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,0,1,0,1
MI - AO NIGUARDA CA' GRANDA - MILANO,0,4,0,4
MI - IRCCS S. RAFFAELE - MILANO,7,10,0,17
PD - AZIENDA OSPEDALIERA DI PADOVA,0,15,0,15
BO - S.ORSOLA-MALPIGHI - BO,0,0,1,1
PR - OSPEDALE MAGGIORE - PARMA,0,2,0,2
PI - A.O.U. PISANA,2,10,0,12
RM - A.O. SAN CAMILLO - FORLANINI,0,7,0,7
PA - Is.Me.T.T.,0,2,0,2
CA - AZIENDA OSPEDALIERA G. BROTZU,1,3,0,4
Totale,10,56,1,67
