Struttura trapianto,Polmone,Polmone doppio,Totale Trapianti
"TO - AOU Città della Salute, PO S.G.Battista",5,20,25
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,1,10,11
MI - OSPEDALE MAGGIORE POLICLINICO - MILANO,2,23,25
PV - OSPEDALE POLICLINICO S. MATTEO - PAVIA,3,8,11
PD - AZIENDA OSPEDALIERA DI PADOVA,2,25,27
BO - S.ORSOLA-MALPIGHI - BO,0,6,6
SI - A.O.U. SENESE - S.M. alle SCOTTE,3,11,14
RM - OSPEDALE PEDIATRICO BAMBINO GESU',0,4,4
RM - POLICLINICO UMBERTO I - ROMA,2,10,12
PA - Is.Me.T.T.,1,11,12
Totale,19,128,147
