Struttura trapianto,Rene,Rene doppio,Rene - cuore,Rene - fegato,Rene - pancreas,Totale Trapianti
NO - AOU MAGGIORE DELLA CARITA' - NOVARA,42,1,0,0,0,43
"TO - AOU Città della Salute, PO OIRM",8,0,1,1,0,10
"TO - AOU Città della Salute, PO S.G.Battista",106,2,0,4,2,114
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,44,5,0,0,1,50
BS - PRES. OSPEDAL. SPEDALI CIVILI BRESCIA,50,6,0,0,0,56
MI - AO NIGUARDA CA' GRANDA - MILANO,43,8,0,3,4,58
MI - IRCCS S. RAFFAELE - MILANO,32,9,0,0,10,51
MI - OSPEDALE MAGGIORE POLICLINICO - MILANO,43,3,0,1,0,47
PV - OSPEDALE POLICLINICO S. MATTEO - PAVIA,29,0,0,0,0,29
VA - OSPEDALE DI CIRCOLO E FONDAZIONE MACCHI,33,0,0,0,0,33
PD - AZIENDA OSPEDALIERA DI PADOVA,91,16,0,0,15,122
TV - OSPEDALE CA' FONCELLO - TREVISO,24,6,0,0,0,30
VI - OSPEDALE DI VICENZA,18,6,0,0,0,24
VR - OSPEDALE CIVILE MAGGIORE - VERONA,77,13,0,2,0,92
UD - AZIENDA OSPEDALIERA S. M. MISERICORDIA,54,0,1,2,0,57
GE - A.O.U. S. MARTINO - GENOVA,57,6,0,0,0,63
BO - S.ORSOLA-MALPIGHI - BO,72,18,0,1,0,91
MO - AZIENDA OSPEDALIERA POLICLINICO - MODENA,29,2,0,0,0,31
PR - OSPEDALE MAGGIORE - PARMA,57,6,0,0,2,65
FI - A.O.U. CAREGGI - FIRENZE,34,0,0,0,0,34
PI - A.O.U. PISANA,20,1,0,0,10,31
SI - A.O.U. SENESE - S.M. alle SCOTTE,54,9,0,0,0,63
PG - AZIENDA OSPEDALIERA DI PERUGIA,19,0,0,0,0,19
AN - PRESIDIO OSPEDALIERO UMBERTO I - ANCONA,45,0,0,0,0,45
RM - A.O. SAN CAMILLO - FORLANINI,25,2,1,0,7,35
RM - AZ. OSP. UNIV. POLICLINICO TOR VERGATA,64,1,0,2,0,67
RM - OSPEDALE PEDIATRICO BAMBINO GESU',19,0,1,1,0,21
RM - POLICLINICO UMBERTO I - ROMA,22,0,0,0,0,22
"RM - POLICLINICO UMBERTO I - ROMA, convenzione LAZIO",5,0,0,0,0,5
RM - POLICLINICO UNIVERSITARIO A. GEMELLI,50,0,0,0,0,50
AQ - OSPEDALE CIVILE S. SALVATORE - L'AQUILA,24,0,0,0,0,24
NA - UNIV NAPOLI - FEDERICO II - FAC. MEDIC.,48,0,0,0,0,48
SA - OORR S.GIOVANNI DI DIO E RUGGI D`ARAGONA,44,0,0,0,0,44
BA - AOU CONSORZIALE POLICLINICO di BARI,54,4,0,0,0,58
CS - PRESIDIO OSPEDALIERO ANNUNZIATA,14,0,0,0,0,14
RC - OSPEDALE BIANCHI - MELACRINO - MORELLI,12,0,0,0,0,12
CT - A.O. UNIVERSITARIA DI CATANIA,29,0,0,0,0,29
PA - Is.Me.T.T.,24,0,0,1,2,27
PA - P.O. CIVICO E BENFRATELLI,41,0,0,0,0,41
CA - AZIENDA OSPEDALIERA G. BROTZU,38,4,0,0,3,45
Totale,1594,128,4,18,56,1800
