Struttura trapianto,Rene,Rene doppio,Rene - fegato,Rene - pancreas,Rene - cuore,Totale Trapianti
NO - AOU MAGGIORE DELLA CARITA' - NOVARA,43,6,0,0,0,49
"TO - AOU Città della Salute, PO OIRM",3,0,1,0,0,4
"TO - AOU Città della Salute, PO S.G.Battista",99,13,4,1,0,117
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,37,7,3,0,1,48
BS - PRES. OSPEDAL. SPEDALI CIVILI BRESCIA,49,2,0,0,0,51
MI - AO NIGUARDA CA' GRANDA - MILANO,56,7,1,1,0,65
MI - IRCCS S. RAFFAELE - MILANO,34,13,0,10,0,57
MI - OSPEDALE MAGGIORE POLICLINICO - MILANO,64,1,3,0,0,68
PV - OSPEDALE POLICLINICO S. MATTEO - PAVIA,28,0,0,0,0,28
VA - OSPEDALE DI CIRCOLO E FONDAZIONE MACCHI,44,2,0,0,0,46
PD - AZIENDA OSPEDALIERA DI PADOVA,107,18,1,8,0,134
TV - OSPEDALE CA' FONCELLO - TREVISO,30,5,0,0,0,35
VI - OSPEDALE DI VICENZA,20,2,0,0,0,22
VR - OSPEDALE CIVILE MAGGIORE - VERONA,98,13,2,0,1,114
UD - AZIENDA OSPEDALIERA S. M. MISERICORDIA,46,0,0,0,1,47
UD - POLICLINICO UNIVERSITARIO,1,0,0,0,0,1
GE - A.O.U. S. MARTINO - GENOVA,89,5,0,0,0,94
BO - S.ORSOLA-MALPIGHI - BO,58,23,0,0,0,81
MO - AZIENDA OSPEDALIERA POLICLINICO - MODENA,19,5,1,0,0,25
PR - OSPEDALE MAGGIORE - PARMA,53,1,0,0,0,54
FI - A.O.U. CAREGGI - FIRENZE,54,0,0,0,0,54
PI - A.O.U. PISANA,18,4,0,5,0,27
SI - A.O.U. SENESE - S.M. alle SCOTTE,64,4,0,0,0,68
PG - AZIENDA OSPEDALIERA DI PERUGIA,13,0,0,0,0,13
AN - PRESIDIO OSPEDALIERO UMBERTO I - ANCONA,40,0,0,0,0,40
RM - A.O. SAN CAMILLO - FORLANINI,27,0,0,0,0,27
RM - AZ. OSP. UNIV. POLICLINICO TOR VERGATA,57,2,0,0,0,59
RM - OSPEDALE PEDIATRICO BAMBINO GESU',20,0,2,0,0,22
"RM - POLICLINICO UMBERTO I - ROMA, convenzione LAZIO",11,0,0,0,0,11
RM - POLICLINICO UMBERTO I - ROMA,56,0,0,0,0,56
RM - POLICLINICO UNIVERSITARIO A. GEMELLI,54,0,0,0,0,54
AQ - OSPEDALE CIVILE S. SALVATORE - L'AQUILA,50,0,0,0,0,50
NA - UNIV NAPOLI - FEDERICO II - FAC. MEDIC.,37,1,0,0,0,38
SA - OORR S.GIOVANNI DI DIO E RUGGI D`ARAGONA,32,0,0,0,0,32
BA - AOU CONSORZIALE POLICLINICO di BARI,39,8,0,0,0,47
CS - PRESIDIO OSPEDALIERO ANNUNZIATA,10,1,0,0,0,11
RC - OSPEDALE BIANCHI - MELACRINO - MORELLI,7,0,0,0,0,7
CT - A.O. UNIVERSITARIA DI CATANIA,26,0,0,0,0,26
PA - Is.Me.T.T.,63,0,0,2,1,66
PA - P.O. CIVICO E BENFRATELLI,59,0,0,0,0,59
CA - AZIENDA OSPEDALIERA G. BROTZU,25,1,1,1,0,28
Totale,1740,144,19,28,4,1935
