Struttura trapianto,Fegato,Fegato - polmone doppio,Rene - fegato,Rene doppio - fegato,Totale Trapianti
"TO - AOU Città della Salute, PO OIRM",0,0,2,0,2
"TO - AOU Città della Salute, PO S.G.Battista",142,0,8,0,150
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,86,1,3,0,90
MI - AO NIGUARDA CA' GRANDA - MILANO,115,0,0,0,115
MI - ISTITUTO NAZ.LE PER CURA TUMORI - MILANO,36,0,0,0,36
MI - OSPEDALE MAGGIORE POLICLINICO - MILANO,52,0,1,0,53
PD - AZIENDA OSPEDALIERA DI PADOVA,99,0,2,0,101
VR - OSPEDALE CIVILE MAGGIORE - VERONA,47,0,0,0,47
UD - AZIENDA OSPEDALIERA S. M. MISERICORDIA,24,0,1,0,25
UD - POLICLINICO UNIVERSITARIO,1,0,0,0,1
BO - S.ORSOLA-MALPIGHI - BO,71,0,3,0,74
MO - AZIENDA OSPEDALIERA POLICLINICO - MODENA,35,0,2,0,37
PI - A.O.U. PISANA,161,0,0,0,161
AN - PRESIDIO OSPEDALIERO UMBERTO I - ANCONA,45,0,1,0,46
RM - A.O. SAN CAMILLO - FORLANINI,34,0,0,0,34
RM - AZ. OSP. UNIV. POLICLINICO TOR VERGATA,29,0,0,0,29
RM - OSPEDALE PEDIATRICO BAMBINO GESU',17,0,2,0,19
RM - POLICLINICO UMBERTO I - ROMA,18,0,0,0,18
"RM - POLICLINICO UMBERTO I - ROMA, convenzione LAZIO",7,0,0,0,7
"RM - POLICLINICO UNIVERSITARIO A. GEMELLI, convenzione LAZIO",12,0,0,0,12
RM - POLICLINICO UNIVERSITARIO A. GEMELLI,21,0,0,0,21
NA - AZIENDA OSPEDALIERA A. CARDARELLI,37,0,0,0,37
BA - AOU CONSORZIALE POLICLINICO di BARI,19,0,1,0,20
PA - Is.Me.T.T.,61,0,1,1,63
CA - AZIENDA OSPEDALIERA G. BROTZU,23,0,0,0,23
Totale,1192,1,27,1,1221
