Struttura trapianto,Polmone,Polmone doppio,Fegato - polmone doppio,Cuore - polmone doppio,Totale Trapianti
"TO - AOU Città della Salute, PO S.G.Battista",10,23,0,0,33
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,2,6,1,0,9
MI - OSPEDALE MAGGIORE POLICLINICO - MILANO,1,30,0,0,31
PV - OSPEDALE POLICLINICO S. MATTEO - PAVIA,1,8,0,0,9
PD - AZIENDA OSPEDALIERA DI PADOVA,0,30,0,0,30
BO - S.ORSOLA-MALPIGHI - BO,0,8,0,0,8
SI - A.O.U. SENESE - S.M. alle SCOTTE,4,7,0,0,11
RM - OSPEDALE PEDIATRICO BAMBINO GESU',0,3,0,1,4
RM - POLICLINICO UMBERTO I - ROMA,1,3,0,0,4
PA - Is.Me.T.T.,0,5,0,0,5
Totale,19,123,1,1,144
