Struttura trapianto,Rene,Rene doppio,Rene - fegato,Rene - pancreas,Rene - cuore,Rene doppio - fegato,Totale Trapianti
NO - AOU MAGGIORE DELLA CARITA' - NOVARA,54,3,0,0,0,0,57
"TO - AOU Città della Salute, PO OIRM",1,0,2,0,0,0,3
"TO - AOU Città della Salute, PO S.G.Battista",145,8,8,4,0,0,165
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,50,8,3,0,0,0,61
BS - PRES. OSPEDAL. SPEDALI CIVILI BRESCIA,53,8,0,0,0,0,61
MI - AO NIGUARDA CA' GRANDA - MILANO,50,3,0,2,0,0,55
MI - IRCCS S. RAFFAELE - MILANO,45,10,0,6,0,0,61
MI - OSPEDALE MAGGIORE POLICLINICO - MILANO,54,1,1,0,0,0,56
PV - OSPEDALE POLICLINICO S. MATTEO - PAVIA,21,0,0,0,0,0,21
VA - OSPEDALE DI CIRCOLO E FONDAZIONE MACCHI,36,2,0,0,0,0,38
PD - AZIENDA OSPEDALIERA DI PADOVA,102,15,2,11,0,0,130
TV - OSPEDALE CA' FONCELLO - TREVISO,26,4,0,0,0,0,30
VI - OSPEDALE DI VICENZA,14,2,0,0,0,0,16
VR - OSPEDALE CIVILE MAGGIORE - VERONA,93,4,0,0,0,0,97
UD - AZIENDA OSPEDALIERA S. M. MISERICORDIA,26,2,1,0,1,0,30
GE - A.O.U. S. MARTINO - GENOVA,71,1,0,0,0,0,72
BO - S.ORSOLA-MALPIGHI - BO,53,16,3,0,0,0,72
MO - AZIENDA OSPEDALIERA POLICLINICO - MODENA,20,13,2,0,0,0,35
PR - OSPEDALE MAGGIORE - PARMA,35,6,0,0,0,0,41
FI - A.O.U. CAREGGI - FIRENZE,46,0,0,0,0,0,46
PI - A.O.U. PISANA,25,3,0,3,0,0,31
SI - A.O.U. SENESE - S.M. alle SCOTTE,40,5,0,0,0,0,45
PG - AZIENDA OSPEDALIERA DI PERUGIA,19,0,0,0,0,0,19
AN - PRESIDIO OSPEDALIERO UMBERTO I - ANCONA,41,0,1,0,0,0,42
RM - A.O. SAN CAMILLO - FORLANINI,23,0,0,2,0,0,25
RM - AZ. OSP. UNIV. POLICLINICO TOR VERGATA,65,0,0,0,0,0,65
RM - OSPEDALE PEDIATRICO BAMBINO GESU',15,0,2,0,0,0,17
"RM - POLICLINICO UMBERTO I - ROMA, convenzione LAZIO",9,0,0,0,0,0,9
RM - POLICLINICO UMBERTO I - ROMA,63,0,0,0,0,0,63
RM - POLICLINICO UNIVERSITARIO A. GEMELLI,46,0,0,0,0,0,46
AQ - OSPEDALE CIVILE S. SALVATORE - L'AQUILA,33,0,0,0,0,0,33
NA - UNIV NAPOLI - FEDERICO II - FAC. MEDIC.,33,0,0,0,0,0,33
SA - OORR S.GIOVANNI DI DIO E RUGGI D`ARAGONA,34,1,0,0,0,0,35
BA - AOU CONSORZIALE POLICLINICO di BARI,33,6,1,0,0,0,40
CS - PRESIDIO OSPEDALIERO ANNUNZIATA,17,0,0,0,0,0,17
RC - OSPEDALE BIANCHI - MELACRINO - MORELLI,16,1,0,0,0,0,17
CT - A.O. UNIVERSITARIA DI CATANIA,6,0,0,0,0,0,6
PA - Is.Me.T.T.,56,2,1,2,0,1,62
PA - P.O. CIVICO E BENFRATELLI,41,0,0,0,0,0,41
CA - AZIENDA OSPEDALIERA G. BROTZU,34,1,0,2,0,0,37
Totale,1644,125,27,32,1,1,1830
