Struttura trapianto,Cuore,Cuore - polmone doppio,Rene - cuore,Totale Trapianti
"TO - AOU Città della Salute, PO OIRM",2,0,0,2
"TO - AOU Città della Salute, PO S.G.Battista",22,1,0,23
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,20,0,0,20
MI - AO NIGUARDA CA' GRANDA - MILANO,34,0,0,34
PV - OSPEDALE POLICLINICO S. MATTEO - PAVIA,14,0,0,14
PD - AZIENDA OSPEDALIERA DI PADOVA,30,0,0,30
VR - OSPEDALE CIVILE MAGGIORE - VERONA,11,0,0,11
UD - AZIENDA OSPEDALIERA S. M. MISERICORDIA,19,0,1,20
BO - S.ORSOLA-MALPIGHI - BO,27,0,0,27
SI - A.O.U. SENESE - S.M. alle SCOTTE,12,0,0,12
RM - A.O. SAN CAMILLO - FORLANINI,7,0,0,7
RM - OSPEDALE PEDIATRICO BAMBINO GESU',10,1,0,11
NA - A. O. MONALDI,17,0,0,17
BA - AOU CONSORZIALE POLICLINICO di BARI,6,0,0,6
PA - Is.Me.T.T.,9,0,0,9
CA - AZIENDA OSPEDALIERA G. BROTZU,3,0,0,3
Totale,243,2,1,246
