Struttura trapianto,Fegato,Fegato - pancreas - polmone doppio,Fegato - pancreas,Fegato - pancreas - intestino,Rene - fegato,Totale Trapianti
"TO - AOU Città della Salute, PO OIRM",0,0,0,0,2,2
"TO - AOU Città della Salute, PO S.G.Battista",138,1,1,0,6,146
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,71,0,0,1,2,74
MI - AO NIGUARDA CA' GRANDA - MILANO,123,0,0,0,3,126
MI - ISTITUTO NAZ.LE PER CURA TUMORI - MILANO,36,0,0,0,0,36
MI - OSPEDALE MAGGIORE POLICLINICO - MILANO,51,0,0,0,2,53
PD - AZIENDA OSPEDALIERA DI PADOVA,98,0,0,0,2,100
VR - OSPEDALE CIVILE MAGGIORE - VERONA,41,0,0,0,0,41
UD - AZIENDA OSPEDALIERA S. M. MISERICORDIA,26,0,0,0,0,26
BO - S.ORSOLA-MALPIGHI - BO,98,0,0,0,2,100
MO - AZIENDA OSPEDALIERA POLICLINICO - MODENA,71,0,0,0,0,71
PI - A.O.U. PISANA,161,0,0,0,0,161
AN - PRESIDIO OSPEDALIERO UMBERTO I - ANCONA,39,0,0,0,0,39
RM - A.O. SAN CAMILLO - FORLANINI,32,0,0,0,0,32
"RM - A.O. SAN CAMILLO - FORLANINI, convenzione LAZIO",2,0,0,0,0,2
RM - AZ. OSP. UNIV. POLICLINICO TOR VERGATA,40,0,0,0,1,41
RM - OSPEDALE PEDIATRICO BAMBINO GESU',22,0,0,0,1,23
RM - POLICLINICO UMBERTO I - ROMA,15,0,0,0,1,16
"RM - POLICLINICO UMBERTO I - ROMA, convenzione LAZIO",3,0,0,0,0,3
RM - POLICLINICO UNIVERSITARIO A. GEMELLI,24,0,0,0,0,24
"RM - POLICLINICO UNIVERSITARIO A. GEMELLI, convenzione LAZIO",8,0,0,0,0,8
NA - AZIENDA OSPEDALIERA A. CARDARELLI,35,0,0,0,0,35
BA - AOU CONSORZIALE POLICLINICO di BARI,24,0,0,0,0,24
PA - Is.Me.T.T.,64,0,0,0,2,66
CA - AZIENDA OSPEDALIERA G. BROTZU,26,0,0,0,1,27
Totale,1248,1,1,1,25,1276
