Struttura trapianto,Polmone,Polmone doppio,Fegato - pancreas - polmone doppio,Cuore - polmone doppio,Rene - polmone,Totale Trapianti
"TO - AOU Città della Salute, PO S.G.Battista",5,16,1,1,0,23
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,0,13,0,0,0,13
MI - OSPEDALE MAGGIORE POLICLINICO - MILANO,2,31,0,0,1,34
PV - OSPEDALE POLICLINICO S. MATTEO - PAVIA,2,6,0,0,0,8
PD - AZIENDA OSPEDALIERA DI PADOVA,0,31,0,0,0,31
BO - S.ORSOLA-MALPIGHI - BO,0,9,0,0,0,9
SI - A.O.U. SENESE - S.M. alle SCOTTE,3,5,0,0,0,8
RM - OSPEDALE PEDIATRICO BAMBINO GESU',0,0,0,1,0,1
RM - POLICLINICO UMBERTO I - ROMA,7,4,0,0,0,11
PA - Is.Me.T.T.,2,12,0,0,0,14
Totale,21,127,1,2,1,152
