Struttura trapianto,Polmone,Polmone doppio,Fegato - pancreas - polmone doppio,Rene - polmone doppio,Cuore - polmone doppio,Totale Trapianti
"TO - AOU Città della Salute, PO S.G.Battista",2,17,2,1,0,22
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,0,8,0,0,0,8
MI - OSPEDALE MAGGIORE POLICLINICO - MILANO,0,19,0,0,0,19
PV - OSPEDALE POLICLINICO S. MATTEO - PAVIA,0,3,0,0,0,3
PD - AZIENDA OSPEDALIERA DI PADOVA,0,21,0,0,0,21
BO - S.ORSOLA-MALPIGHI - BO,0,11,0,0,0,11
SI - A.O.U. SENESE - S.M. alle SCOTTE,4,5,0,0,0,9
RM - OSPEDALE PEDIATRICO BAMBINO GESU',0,1,0,0,1,2
RM - POLICLINICO UMBERTO I - ROMA,2,5,0,0,0,7
PA - Is.Me.T.T.,4,9,0,0,0,13
Totale,12,99,2,1,1,115
