Struttura trapianto,Rene,Rene doppio,Rene - fegato,Rene - polmone doppio,Rene - pancreas,Rene - cuore,Totale Trapianti
NO - AOU MAGGIORE DELLA CARITA' - NOVARA,36,1,0,0,0,0,37
"TO - AOU Città della Salute, PO OIRM",6,0,0,0,0,0,6
"TO - AOU Città della Salute, PO S.G.Battista",138,18,8,1,4,0,169
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,23,4,0,0,0,0,27
BS - PRES. OSPEDAL. SPEDALI CIVILI BRESCIA,45,7,0,0,0,0,52
MI - AO NIGUARDA CA' GRANDA - MILANO,42,0,4,0,1,0,47
MI - IRCCS S. RAFFAELE - MILANO,53,5,0,0,10,0,68
MI - OSPEDALE MAGGIORE POLICLINICO - MILANO,64,0,0,0,0,0,64
PV - OSPEDALE POLICLINICO S. MATTEO - PAVIA,22,0,0,0,0,0,22
VA - OSPEDALE DI CIRCOLO E FONDAZIONE MACCHI,26,2,0,0,0,0,28
PD - AZIENDA OSPEDALIERA DI PADOVA,118,7,2,0,12,0,139
TV - OSPEDALE CA' FONCELLO - TREVISO,22,4,0,0,0,0,26
VI - OSPEDALE DI VICENZA,20,1,0,0,0,0,21
VR - OSPEDALE CIVILE MAGGIORE - VERONA,91,5,0,0,0,0,96
UD - AZIENDA OSPEDALIERA S. M. MISERICORDIA,63,6,1,0,0,0,70
GE - A.O.U. S. MARTINO - GENOVA,51,3,0,0,0,0,54
BO - S.ORSOLA-MALPIGHI - BO,47,20,3,0,0,0,70
MO - AZIENDA OSPEDALIERA POLICLINICO - MODENA,23,3,0,0,0,0,26
PR - OSPEDALE MAGGIORE - PARMA,40,12,0,0,0,0,52
FI - A.O.U. CAREGGI - FIRENZE,32,0,0,0,0,0,32
PI - A.O.U. PISANA,27,2,0,0,4,0,33
SI - A.O.U. SENESE - S.M. alle SCOTTE,31,4,0,0,0,0,35
PG - AZIENDA OSPEDALIERA DI PERUGIA,8,0,0,0,0,0,8
AN - PRESIDIO OSPEDALIERO UMBERTO I - ANCONA,31,0,1,0,0,0,32
RM - A.O. SAN CAMILLO - FORLANINI,25,0,0,0,0,0,25
RM - AZ. OSP. UNIV. POLICLINICO TOR VERGATA,40,1,0,0,2,0,43
RM - OSPEDALE PEDIATRICO BAMBINO GESU',15,0,1,0,0,0,16
"RM - POLICLINICO UMBERTO I - ROMA, convenzione LAZIO",4,0,0,0,0,0,4
RM - POLICLINICO UMBERTO I - ROMA,13,0,0,0,0,0,13
RM - POLICLINICO UNIVERSITARIO A. GEMELLI,31,0,0,0,0,0,31
AQ - OSPEDALE CIVILE S. SALVATORE - L'AQUILA,26,0,0,0,0,0,26
NA - UNIV NAPOLI - FEDERICO II - FAC. MEDIC.,16,0,0,0,0,0,16
SA - OORR S.GIOVANNI DI DIO E RUGGI D`ARAGONA,17,0,0,0,0,0,17
BA - AOU CONSORZIALE POLICLINICO di BARI,33,4,1,0,0,0,38
CS - PRESIDIO OSPEDALIERO ANNUNZIATA,11,0,0,0,0,0,11
RC - OSPEDALE BIANCHI - MELACRINO - MORELLI,12,0,0,0,0,0,12
CT - A.O. UNIVERSITARIA DI CATANIA,34,0,0,0,0,0,34
PA - Is.Me.T.T.,47,1,4,0,0,1,53
PA - P.O. CIVICO E BENFRATELLI,42,0,0,0,0,0,42
CA - AZIENDA OSPEDALIERA G. BROTZU,26,1,1,0,0,0,28
Totale,1451,111,26,1,33,1,1623
