Struttura trapianto,Fegato,Fegato - pancreas,Fegato - polmone doppio,Fegato - pancreas - polmone doppio,Rene - fegato,Rene doppio - fegato,Totale Trapianti
"TO - AOU Città della Salute, PO S.G.Battista",154,1,0,0,3,0,158
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,75,0,1,1,0,0,77
MI - AO NIGUARDA CA' GRANDA - MILANO,105,0,0,0,0,1,106
MI - ISTITUTO NAZ.LE PER CURA TUMORI - MILANO,34,0,0,0,0,0,34
MI - OSPEDALE MAGGIORE POLICLINICO - MILANO,41,0,0,0,1,0,42
PD - AZIENDA OSPEDALIERA DI PADOVA,98,0,0,0,2,0,100
VR - OSPEDALE CIVILE MAGGIORE - VERONA,35,0,0,0,0,0,35
UD - AZIENDA OSPEDALIERA S. M. MISERICORDIA,23,0,0,0,0,0,23
GE - A.O.U. S. MARTINO - GENOVA,21,0,0,0,0,0,21
BO - S.ORSOLA-MALPIGHI - BO,102,0,0,0,3,0,105
MO - AZIENDA OSPEDALIERA POLICLINICO - MODENA,102,0,0,0,0,0,102
PI - A.O.U. PISANA,157,0,0,0,0,0,157
AN - PRESIDIO OSPEDALIERO UMBERTO I - ANCONA,39,0,0,0,1,0,40
RM - A.O. SAN CAMILLO - FORLANINI,50,0,0,0,0,0,50
"RM - A.O. SAN CAMILLO - FORLANINI, convenzione LAZIO",11,0,0,0,0,0,11
RM - AZ. OSP. UNIV. POLICLINICO TOR VERGATA,29,0,0,0,1,0,30
RM - OSPEDALE PEDIATRICO BAMBINO GESU',18,1,0,1,0,0,20
"RM - POLICLINICO UMBERTO I - ROMA, convenzione LAZIO",5,0,0,0,0,0,5
RM - POLICLINICO UMBERTO I - ROMA,10,0,0,0,0,0,10
RM - POLICLINICO UNIVERSITARIO A. GEMELLI,25,0,0,0,0,0,25
"RM - POLICLINICO UNIVERSITARIO A. GEMELLI, convenzione LAZIO",8,0,0,0,0,0,8
NA - AZIENDA OSPEDALIERA A. CARDARELLI,40,0,0,0,0,0,40
BA - AOU CONSORZIALE POLICLINICO di BARI,38,0,0,0,0,0,38
PA - Is.Me.T.T.,83,0,0,0,1,0,84
CA - AZIENDA OSPEDALIERA G. BROTZU,37,0,0,0,1,0,38
Totale,1340,2,1,2,13,1,1359
