Struttura trapianto,Pancreas,Rene - pancreas,Fegato - pancreas,Fegato - pancreas - polmone doppio,Doppio rene - pancreas,Totale Trapianti
"TO - AOU Città della Salute, PO S.G.Battista",1,4,1,0,0,6
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,0,0,0,1,0,1
MI - AO NIGUARDA CA' GRANDA - MILANO,0,2,0,0,0,2
MI - IRCCS S. RAFFAELE - MILANO,0,5,0,0,0,5
PD - AZIENDA OSPEDALIERA DI PADOVA,3,16,0,0,0,19
PR - OSPEDALE MAGGIORE - PARMA,0,5,0,0,0,5
PI - A.O.U. PISANA,3,4,0,0,1,8
RM - A.O. SAN CAMILLO - FORLANINI,0,2,0,0,0,2
RM - AZ. OSP. UNIV. POLICLINICO TOR VERGATA,0,1,0,0,0,1
RM - OSPEDALE PEDIATRICO BAMBINO GESU',0,0,1,1,0,2
PA - Is.Me.T.T.,2,0,0,0,0,2
CA - AZIENDA OSPEDALIERA G. BROTZU,0,1,0,0,0,1
Totale,9,40,2,2,1,54
