Struttura trapianto,Polmone,Polmone doppio,Cuore - polmone doppio,Fegato - pancreas - polmone doppio,Fegato - polmone doppio,Totale Trapianti
"TO - AOU Città della Salute, PO S.G.Battista",5,10,1,0,0,16
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,0,9,0,1,1,11
MI - OSPEDALE MAGGIORE POLICLINICO - MILANO,1,19,0,0,0,20
PV - OSPEDALE POLICLINICO S. MATTEO - PAVIA,1,0,0,0,0,1
PD - AZIENDA OSPEDALIERA DI PADOVA,0,25,0,0,0,25
BO - S.ORSOLA-MALPIGHI - BO,0,11,0,0,0,11
SI - A.O.U. SENESE - S.M. alle SCOTTE,3,9,0,0,0,12
RM - OSPEDALE PEDIATRICO BAMBINO GESU',0,0,0,1,0,1
RM - POLICLINICO UMBERTO I - ROMA,2,3,0,0,0,5
PA - Is.Me.T.T.,2,14,0,0,0,16
Totale,14,100,1,2,1,118
