Struttura trapianto,Rene,Rene doppio,Rene - cuore,Rene - pancreas,Rene - fegato,Rene doppio - fegato,Doppio rene - pancreas,Totale Trapianti
NO - AOU MAGGIORE DELLA CARITA' - NOVARA,32,0,0,0,0,0,0,32
"TO - AOU Città della Salute, PO OIRM",8,0,0,0,0,0,0,8
"TO - AOU Città della Salute, PO S.G.Battista",143,17,2,4,3,0,0,169
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,39,4,0,0,0,0,0,43
BS - PRES. OSPEDAL. SPEDALI CIVILI BRESCIA,52,5,0,0,0,0,0,57
MI - AO NIGUARDA CA' GRANDA - MILANO,55,2,0,2,0,1,0,60
MI - IRCCS S. RAFFAELE - MILANO,29,3,0,5,0,0,0,37
MI - OSPEDALE MAGGIORE POLICLINICO - MILANO,61,1,0,0,1,0,0,63
PV - OSPEDALE POLICLINICO S. MATTEO - PAVIA,19,0,0,0,0,0,0,19
VA - OSPEDALE DI CIRCOLO E FONDAZIONE MACCHI,36,2,0,0,0,0,0,38
PD - AZIENDA OSPEDALIERA DI PADOVA,91,14,0,16,2,0,0,123
TV - OSPEDALE CA' FONCELLO - TREVISO,20,2,0,0,0,0,0,22
VI - OSPEDALE DI VICENZA,15,3,0,0,0,0,0,18
VR - OSPEDALE CIVILE MAGGIORE - VERONA,73,10,0,0,0,0,0,83
UD - AZIENDA OSPEDALIERA S. M. MISERICORDIA,56,1,0,0,0,0,0,57
GE - A.O.U. S. MARTINO - GENOVA,56,1,0,0,0,0,0,57
BO - S.ORSOLA-MALPIGHI - BO,59,25,1,0,3,0,0,88
MO - AZIENDA OSPEDALIERA POLICLINICO - MODENA,22,4,0,0,0,0,0,26
PR - OSPEDALE MAGGIORE - PARMA,47,7,0,5,0,0,0,59
FI - A.O.U. CAREGGI - FIRENZE,44,0,0,0,0,0,0,44
PI - A.O.U. PISANA,19,5,0,4,0,0,1,29
SI - A.O.U. SENESE - S.M. alle SCOTTE,31,4,0,0,0,0,0,35
PG - AZIENDA OSPEDALIERA DI PERUGIA,6,0,0,0,0,0,0,6
AN - PRESIDIO OSPEDALIERO UMBERTO I - ANCONA,49,0,0,0,1,0,0,50
RM - A.O. SAN CAMILLO - FORLANINI,43,0,1,2,0,0,0,46
RM - AZ. OSP. UNIV. POLICLINICO TOR VERGATA,39,0,0,1,1,0,0,41
RM - OSPEDALE PEDIATRICO BAMBINO GESU',19,0,0,0,0,0,0,19
RM - POLICLINICO UMBERTO I - ROMA,18,0,0,0,0,0,0,18
"RM - POLICLINICO UMBERTO I - ROMA, convenzione LAZIO",9,0,0,0,0,0,0,9
RM - POLICLINICO UNIVERSITARIO A. GEMELLI,36,0,0,0,0,0,0,36
AQ - OSPEDALE CIVILE S. SALVATORE - L'AQUILA,28,0,0,0,0,0,0,28
NA - UNIV NAPOLI - FEDERICO II - FAC. MEDIC.,29,1,0,0,0,0,0,30
SA - OORR S.GIOVANNI DI DIO E RUGGI D`ARAGONA,23,0,0,0,0,0,0,23
BA - AOU CONSORZIALE POLICLINICO di BARI,40,16,0,0,0,0,0,56
CS - PRESIDIO OSPEDALIERO ANNUNZIATA,11,0,0,0,0,0,0,11
RC - OSPEDALE BIANCHI - MELACRINO - MORELLI,13,0,0,0,0,0,0,13
CT - A.O. UNIVERSITARIA DI CATANIA,28,0,0,0,0,0,0,28
PA - Is.Me.T.T.,52,0,0,0,1,0,0,53
PA - P.O. CIVICO E BENFRATELLI,34,0,0,0,0,0,0,34
CA - AZIENDA OSPEDALIERA G. BROTZU,31,0,0,1,1,0,0,33
Totale,1515,127,4,40,13,1,1,1701
