Struttura trapianto,Fegato,Fegato - polmone doppio,Fegato - pancreas - intestino,Rene - fegato,Totale Trapianti
"TO - AOU Città della Salute, PO S.G.Battista",135,1,0,8,144
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,83,0,1,3,87
MI - AO NIGUARDA CA' GRANDA - MILANO,98,0,0,4,102
MI - ISTITUTO NAZ.LE PER CURA TUMORI - MILANO,35,0,0,0,35
MI - OSPEDALE MAGGIORE POLICLINICO - MILANO,57,0,0,0,57
PD - AZIENDA OSPEDALIERA DI PADOVA,111,0,0,0,111
VR - OSPEDALE CIVILE MAGGIORE - VERONA,48,0,0,1,49
UD - AZIENDA OSPEDALIERA S. M. MISERICORDIA,27,0,0,0,27
GE - A.O.U. S. MARTINO - GENOVA,31,0,0,0,31
BO - S.ORSOLA-MALPIGHI - BO,119,0,0,5,124
MO - AZIENDA OSPEDALIERA POLICLINICO - MODENA,111,0,0,3,114
PI - A.O.U. PISANA,148,0,0,0,148
AN - PRESIDIO OSPEDALIERO UMBERTO I - ANCONA,46,0,0,1,47
"RM - A.O. SAN CAMILLO - FORLANINI, convenzione LAZIO",7,0,0,0,7
RM - A.O. SAN CAMILLO - FORLANINI,59,0,0,0,59
RM - AZ. OSP. UNIV. POLICLINICO TOR VERGATA,35,0,0,0,35
RM - OSPEDALE PEDIATRICO BAMBINO GESU',23,0,0,2,25
RM - POLICLINICO UMBERTO I - ROMA,19,0,0,0,19
RM - POLICLINICO UNIVERSITARIO A. GEMELLI,27,0,0,0,27
"RM - POLICLINICO UNIVERSITARIO A. GEMELLI, convenzione LAZIO",8,0,0,0,8
NA - AZIENDA OSPEDALIERA A. CARDARELLI,51,0,0,0,51
BA - AOU CONSORZIALE POLICLINICO di BARI,30,0,0,0,30
PA - Is.Me.T.T.,75,0,0,0,75
CA - AZIENDA OSPEDALIERA G. BROTZU,33,0,0,0,33
Totale,1416,1,1,27,1445
