Struttura trapianto,Cuore,Cuore - fegato,Totale Trapianti
"TO - AOU Città della Salute, PO OIRM",5,0,5
"TO - AOU Città della Salute, PO S.G.Battista",26,2,28
BG - OSPEDALE PAPA GIOVANNI XXIII - BERGAMO,22,0,22
MI - AO NIGUARDA CA' GRANDA - MILANO,35,0,35
PV - OSPEDALE POLICLINICO S. MATTEO - PAVIA,15,0,15
PD - AZIENDA OSPEDALIERA DI PADOVA,42,0,42
VR - OSPEDALE CIVILE MAGGIORE - VERONA,29,0,29
UD - AZIENDA OSPEDALIERA S. M. MISERICORDIA,29,0,29
BO - S.ORSOLA-MALPIGHI - BO,30,0,30
SI - A.O.U. SENESE - S.M. alle SCOTTE,14,0,14
RM - A.O. SAN CAMILLO - FORLANINI,17,0,17
RM - OSPEDALE PEDIATRICO BAMBINO GESU',8,0,8
NA - A. O. MONALDI,20,0,20
BA - AOU CONSORZIALE POLICLINICO di BARI,73,0,73
PA - Is.Me.T.T.,40,0,40
CA - AZIENDA OSPEDALIERA G. BROTZU,6,0,6
Totale,411,2,413
